Name,Province,Climate ID,Station ID,Latitude,Longitude,Elevation (m),First Year,Last Year,First Year (Hourly),Last Year (Hourly),First Year (Daily),Last Year (Daily),First Year (Monthly),Last Year (Monthly)
ACTIVE PASS,BRITISH COLUMBIA,1010066,14,48.87,-123.28,4,1984,1996,-999,-999,1984,1996,1984,1996
ALBERT HEAD,BRITISH COLUMBIA,1010235,15,48.4,-123.48,17,1971,1995,-999,-999,1971,1995,1971,1995
BAMBERTON OCEAN CEMENT,BRITISH COLUMBIA,1010595,16,48.58,-123.52,85,1961,1980,-999,-999,1961,1980,1961,1980
BEAR CREEK,BRITISH COLUMBIA,1010720,17,48.5,-124.0,350,1910,1971,-999,-999,1910,1971,1910,1971
BEAVER LAKE,BRITISH COLUMBIA,1010774,18,48.5,-123.35,61,1894,1952,-999,-999,1894,1952,1894,1952
BECHER BAY,BRITISH COLUMBIA,1010780,19,48.33,-123.63,12,1956,1966,-999,-999,1956,1966,1956,1966
BRENTWOOD BAY 2,BRITISH COLUMBIA,1010960,20,48.6,-123.47,38,1987,1997,-999,-999,1987,1997,1987,1997
BRENTWOOD CLARKE ROAD,BRITISH COLUMBIA,1010961,21,48.57,-123.45,30,1972,1980,-999,-999,1972,1980,1972,1980
BRENTWOOD W SAANICH RD,BRITISH COLUMBIA,1010965,22,48.57,-123.43,91,1960,1970,-999,-999,1960,1970,1960,1970
CENTRAL SAANICH VEYANESS,BRITISH COLUMBIA,1011467,25,48.58,-123.42,53,1963,1994,-999,-999,1963,1994,1963,1994
CENTRAL SAANICH ISL VIEW,BRITISH COLUMBIA,10114F6,24,48.57,-123.39,38,1970,2008,-999,-999,1970,2008,1970,2007
CENTRAL SAANICH TANNER,BRITISH COLUMBIA,10114FF,23,48.55,-123.4,88,1966,1968,-999,-999,1966,1968,1966,1968
CHEMAINUS,BRITISH COLUMBIA,1011500,26,48.94,-123.74,75,1919,2019,-999,-999,1919,2019,1919,2007
COBBLE HILL,BRITISH COLUMBIA,1011743,27,48.68,-123.6,99,1990,1994,-999,-999,1990,1994,1990,1994
COBBLE HILL DELOUME ROAD,BRITISH COLUMBIA,1011745,28,48.65,-123.57,61,1970,1981,-999,-999,1970,1981,1970,1981
COLE BAY,BRITISH COLUMBIA,1011775,29,48.65,-123.4,36,1923,1942,-999,-999,1923,1942,1923,1942
COLWOOD HATLEY DR,BRITISH COLUMBIA,1011810,30,48.42,-123.48,75,1981,2001,-999,-999,1981,2001,1981,2001
COPPER CANYON,BRITISH COLUMBIA,1011860,31,48.83,-123.83,176,1957,1959,-999,-999,1957,1959,1957,1959
CORDOVA BAY,BRITISH COLUMBIA,1011920,32,48.53,-123.37,37,1951,1970,-999,-999,1951,1970,1951,1970
CORDOVA BAY SOUTH,BRITISH COLUMBIA,1011922,33,48.52,-123.37,26,1972,1995,-999,-999,1972,1995,1972,1995
COWICHAN,BRITISH COLUMBIA,1012008,34,48.42,-123.7,51,1904,1925,-999,-999,1904,1925,1904,1925
COWICHAN BAY CHERRY POINT,BRITISH COLUMBIA,1012010,35,48.71,-123.56,1,1913,2001,-999,-999,1913,2001,1913,2001
COWICHAN BAY SOUTHEAST,BRITISH COLUMBIA,1012018,36,48.73,-123.6,94,1989,1994,-999,-999,1989,1994,1989,1994
